item_name,state,latest_price,price_change,highest_price,lowest_price,item_group
BAYAM HIJAU,W.P. Labuan,5.3,-0.15,6.733333333,3.62,1
BAYAM HIJAU,W.P. Putrajaya,6.060957854,-0.23432027,7.663138298,5.213670213,1
BAYAM MERAH,Johor,4.665933735,-0.423045037,6.981228771,4.048155054,1
BAYAM MERAH,Kedah,4.65761488,-0.143071013,6.128716418,4.333380282,1
BAYAM MERAH,Kelantan,6.421056338,-0.062016169,8.435333333,6.29879203,1
BAYAM MERAH,Melaka,4.18277027,-0.398885135,6.122857143,3.3964,1
BAYAM MERAH,Negeri Sembilan,5.088844444,-0.329280309,6.464096386,4.517967667,1
BAYAM MERAH,Pahang,4.432502831,-0.157380104,7.126094946,4.1533295,1
BAYAM MERAH,Perak,4.77070373,-0.166601426,6.352263109,4.272008621,1
BAYAM MERAH,Perlis,6.285714286,0.142857143,8,2.99,1
BAYAM MERAH,Pulau Pinang,5.46593914,-0.123019639,6.571447661,4.767279412,1
BAYAM MERAH,Sabah,5.925357766,0.058831531,6.319504717,4.510362538,1
BAYAM MERAH,Sarawak,6.508777174,-0.280745192,7.243977273,6.197083333,1
BAYAM MERAH,Selangor,5.461613692,-0.198612734,7.630660194,4.805331611,1
BAYAM MERAH,Terengganu,6.430391254,-0.169045565,10.88656757,6.357413127,1
BAYAM MERAH,W.P. Kuala Lumpur,7.709590909,0.329463701,9.333501401,5.413333333,1
BAYAM MERAH,W.P. Labuan,8.5,0.75,8.5,4,1
BAYAM MERAH,W.P. Putrajaya,7.272482759,-0.120454273,8.128181818,4.803894737,1
BETIK BIASA,Johor,5.466270042,0.615439043,6.176238095,4.087706422,1
BETIK BIASA,Kedah,5.061157718,0.327104167,5.660671875,4.120747826,1
BETIK BIASA,Kelantan,5.54444668,0.293331673,5.819780822,4.163436533,1
BETIK BIASA,Melaka,5.608967391,0.823871808,6.447466667,3.961223776,1
BETIK BIASA,Negeri Sembilan,5.7895,0.749306355,6.447731343,4.004393939,1
BETIK BIASA,Pahang,5.356346457,0.433583713,6.699132007,3.979103139,1
BETIK BIASA,Perak,5.48509039,0.565486598,6.025505882,4.044452975,1
BETIK BIASA,Perlis,5.641666667,0.643958333,5.641666667,4.165147059,1
BETIK BIASA,Pulau Pinang,5.519124294,0.368736977,5.892938389,4.219503546,1
BETIK BIASA,Sabah,3.615109321,-0.067827124,3.909708847,2.91375,1
BETIK BIASA,Sarawak,4.273423529,0.064235184,4.539797136,3.535499383,1
BETIK BIASA,Selangor,6.043018732,0.855716443,6.697077597,4.331585845,1
BETIK BIASA,Terengganu,5.383783231,0.26112785,5.845248227,4.437282609,1
BETIK BIASA,W.P. Kuala Lumpur,6.503763393,0.907746124,7.275447996,4.688271144,1
BETIK BIASA,W.P. Labuan,3.949101124,-0.078808813,4.636244131,3.351052632,1
BETIK BIASA,W.P. Putrajaya,6.126633166,0.863247458,6.791914894,4.400138249,1
BROKOLI,Johor,11.83533914,-0.092110538,14.88891869,10.40257813,1
BROKOLI,Kedah,12.02417331,-0.125981275,14.32783718,11.36982517,1
BROKOLI,Kelantan,12.37879681,-0.200240769,14.6434514,10.74966977,1
BROKOLI,Melaka,12.29145455,-0.543117265,14.77509728,11.35642023,1
BROKOLI,Negeri Sembilan,11.60337449,-0.054221848,14.15313131,10.30794715,1
BROKOLI,Pahang,11.8895322,0.092947369,15.2336509,10.10996252,1
BROKOLI,Perak,11.97717532,-0.336042988,14.24403034,11.31136698,1
BROKOLI,Perlis,12.66768953,-0.08276166,16.03106762,12.03308244,1
BROKOLI,Pulau Pinang,11.66090542,-0.367884603,14.06076433,11.02056667,1
BROKOLI,Sabah,14.8611882,-0.053278054,16.05862531,14.14905602,1
BROKOLI,Sarawak,15.03611321,-0.360055351,18.3586879,13.98196313,1
BROKOLI,Selangor,11.8425179,-0.302250666,15.00673469,10.95709719,1
BROKOLI,Terengganu,12.66076,-0.111771621,15.82888215,11.12830922,1
BROKOLI,W.P. Kuala Lumpur,11.91321796,-0.06340096,14.9308984,10.38247108,1
BROKOLI,W.P. Labuan,16.36739437,-0.349128904,17.2048125,10.44444444,1
BROKOLI,W.P. Putrajaya,13.03083333,-0.27308908,16.28582353,11.3904717,1
CILI AKAR HIJAU,Johor,13.44004252,-0.044890276,16.32897554,10.12242597,1
CILI AKAR HIJAU,Kedah,12.65663008,-0.478472542,16.36604635,9.739384035,1
CILI AKAR HIJAU,Kelantan,12.93414725,-0.569702979,16.43240108,10.56015882,1
CILI AKAR HIJAU,Melaka,13.07295503,-0.289957363,16.81869474,10.68689487,1
CILI AKAR HIJAU,Negeri Sembilan,13.21770972,-0.415177607,17.47586207,10.3474349,1
CILI AKAR HIJAU,Pahang,14.36038955,-0.070569148,18.14407666,9.925893648,1
CILI AKAR HIJAU,Perak,13.88140647,-0.280891037,17.43089785,10.16505418,1
